Amount,Big wins, Big Losses
420000,0,3
459000,2,0
477000,1,1
465000,5,1
435000,0,1
489000,2,2
390000,10,10
444000,2,3
426000,3,2
399000,2,3
405000,0,1
441000,3,1
414000,2,2
411000,3,2
450000,5,3
405000,0,1
414000,2,2
399000,2,2
405000,0,1
444000,2,3
402000,1,4
495000,0,1
381000,3,8
441000,3,3
447000,1,0
444000,7,1
372000,1,2
384000,2,1
450000,5,6
396000,3,7
471000,3,2
459000,2,2
387000,1,1
477000,1,1
435000,0,1
432000,1,0
429000,2,3
387000,1,2
471000,3,1
465000,0,2
492000,1,1
495000,0,2
417000,1,1
435000,5,3
435000,0,1
411000,3,3
435000,5,5
390000,0,2
432000,1,0
372000,1,2
420000,0,1
462000,1,3
405000,0,5
435000,0,1
462000,1,0
432000,1,3
390000,0,1
411000,3,5
432000,1,3
405000,5,5
492000,6,1
408000,4,2
447000,1,0
444000,7,3
492000,1,0
417000,6,7
429000,7,4
426000,3,2
435000,0,1
405000,5,3
471000,3,3
477000,1,0
399000,2,1
489000,2,1
438000,14,5
429000,2,1
441000,3,5
432000,1,3
414000,2,1
435000,5,0
450000,5,4
465000,5,2
429000,2,2
468000,4,3
399000,2,1
423000,9,6
489000,2,0
417000,1,2
393000,9,7
438000,9,7
414000,2,4
462000,1,3
432000,1,1
474000,2,2
378000,4,4
447000,1,0
456000,3,2
402000,1,1
429000,7,6
411000,3,4
381000,3,4
471000,3,1
435000,0,2
414000,7,6
450000,5,2
417000,1,0
462000,1,1
465000,0,1
453000,4,3
477000,1,2
429000,2,3
402000,11,7
405000,0,2
444000,2,1
498000,4,0
414000,7,4
492000,1,0
384000,2,1
522000,1,0
456000,3,1
438000,4,2
435000,0,1
489000,2,1
447000,1,2
471000,3,2
387000,1,2
435000,0,2
411000,3,1
444000,2,1
381000,3,4
408000,4,3
420000,10,8
411000,3,0
423000,4,5
414000,7,6
423000,14,9
447000,1,0
507000,1,0
447000,1,1
414000,2,1
420000,0,2
516000,3,0
405000,0,2
396000,3,2
459000,2,2
423000,4,3
477000,1,0
429000,2,0
444000,2,5
444000,2,0
489000,2,2
486000,3,2
420000,0,2
444000,2,1
447000,1,1
441000,3,4
384000,7,6
459000,2,1
372000,1,2
489000,2,0
399000,2,3
396000,3,3
492000,1,0
453000,4,2
405000,0,2
375000,0,1
432000,1,0
417000,1,2
432000,6,0
420000,5,5
405000,5,3
447000,1,0
387000,1,0
390000,0,1
369000,2,0
432000,6,5
477000,1,1
387000,1,3
438000,4,2
444000,7,6
450000,0,1
525000,0,1
459000,2,4
438000,4,1
411000,3,4
432000,1,5
498000,4,0
402000,1,2
399000,12,9
429000,2,3
459000,2,0
432000,6,6
432000,1,1
399000,2,4
390000,0,1
393000,4,1
375000,0,1
429000,7,3
444000,2,2
441000,3,2
450000,5,2
390000,0,1
417000,1,2
456000,3,2
471000,3,1
450000,5,2
423000,4,4
